$1,2.00043e-02,2.00949e-02,2.00386e-02,3.15515e+00
b,1.30000e-03,4.40000e+00,1.30000e-03,4.40000e+00
$2,1.93370e+00,1.93370e+00,2.48954e-02,2.48954e-02
a,2.50000e-02,2.50000e-02,3.10000e-01,3.10000e-01
$3,2.49999e+00,7.06875e-02,2.49999e+00,7.06875e-02
out,8.00172e-03,8.03796e-03,8.01543e-03,1.26206e+00
