score,modifications,signal_pairing,chassis
358.55,range_p+0.5_0.5_r+6_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
391.46,range_p+1_0.5_r+5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
323.91,range_p+1_0.5_r+6.5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
358.11,range_p+0_0.5_r+5.5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
192.13,range_p+-1_0.5_r+7_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
83.73,range_p+-1_0.5_r+6_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
358.55,range_p+0.5_0.5_r+6.5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
358.11,range_p+0_0.5_r+5_0.5.json,"['Ara', 'IPTG']",Eco2C1G3T1
4.98,range_p+-1_0.5_r+5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
4.98,range_p+-1_0.5_r+5.5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
10.53,range_p+-0.5_0.5_r+5.5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
70.41,range_p+0.5_0.5_r+5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
58.8,range_p+1_0.5_r+7_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
37,range_p+1_0.5_r+6_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
70.41,range_p+0.5_0.5_r+5.5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
10.53,range_p+-0.5_0.5_r+5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
35.28,range_p+0_0.5_r+6.5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
35.28,range_p+0_0.5_r+6_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
35.28,range_p+0_0.5_r+7_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
81.34,range_p+1_0.5_r+5.5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
70.41,range_p+0.5_0.5_r+7_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
70.41,range_p+0.5_0.5_r+6_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
44.88,range_p+1_0.5_r+5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
44.88,range_p+1_0.5_r+6.5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
35.28,range_p+0_0.5_r+5.5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
4.98,range_p+-1_0.5_r+7_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
4.98,range_p+-1_0.5_r+6_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
70.41,range_p+0.5_0.5_r+6.5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
35.28,range_p+0_0.5_r+5_0.5.json,"['Ara', 'Nar']",Eco2C1G3T1
194.58,range_p+-1_0.5_r+5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
