from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
AmeRs,Repression,pAmeR,3,-,,0.44;0.80;0.88
QacR,Repression,pQacR,3,-,,0.40;0.74;0.27
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
